epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.495,2.7911,3.93177,2.15926,0.00514,0.04804,0.00282,0.00071,2.47265,3.6586,1.74735,8.335e-05,8.335e-05,8.335e-05
2,21.928,2.5804,3.67359,1.81477,0.01859,0.16717,0.02347,0.00716,2.41781,3.56426,1.62575,0.000178327,0.000178327,0.000178327
3,30.7399,2.46031,3.28633,1.67198,0.02269,0.19497,0.0295,0.00688,2.23651,3.4953,1.56945,0.000267804,0.000267804,0.000267804
4,39.8256,2.33396,2.79181,1.49865,0.0367,0.30678,0.05984,0.01481,2.15424,3.29992,1.4905,0.000351779,0.000351779,0.000351779
5,53.1834,2.23521,2.43346,1.45719,0.06388,0.57857,0.22458,0.08225,2.17291,3.01441,1.42115,0.000430253,0.000430253,0.000430253
6,67.6951,2.2383,2.20694,1.37055,0.53974,0.16527,0.26868,0.11651,2.12022,2.89881,1.41928,0.000503226,0.000503226,0.000503226
7,83.5558,2.11538,2.04844,1.32606,0.56682,0.12028,0.19456,0.08472,2.19375,3.2086,1.56615,0.000570697,0.000570697,0.000570697
8,103.906,2.10709,1.91745,1.32496,0.45356,0.14495,0.19777,0.08398,2.17809,3.14449,1.53971,0.000632668,0.000632668,0.000632668
9,124.823,2.07953,1.76607,1.33075,0.42841,0.13358,0.16148,0.06212,2.25907,3.31142,1.6376,0.000689138,0.000689138,0.000689138
10,147.987,2.04313,1.74677,1.34,0.47591,0.34472,0.34654,0.14764,2.14362,2.62213,1.43418,0.000740106,0.000740106,0.000740106
11,170.194,2.05949,1.74963,1.36073,0.47442,0.33929,0.3497,0.14435,2.17254,2.61754,1.45449,0.000785574,0.000785574,0.000785574
12,191.357,2.00737,1.68098,1.33881,0.56367,0.30873,0.33071,0.12381,2.26698,2.70625,1.54602,0.00082554,0.00082554,0.00082554
13,213.048,2.14581,1.6738,1.36759,0.55986,0.30119,0.33365,0.13782,2.16762,2.36407,1.45538,0.000860005,0.000860005,0.000860005
14,236.909,2.03941,1.676,1.34959,0.59652,0.33637,0.36253,0.18106,1.90754,1.94103,1.3098,0.000888969,0.000888969,0.000888969
15,256.112,1.95166,1.64046,1.29878,0.62823,0.49442,0.53286,0.25694,1.90754,1.94103,1.3098,0.000912432,0.000912432,0.000912432
16,281.479,1.94039,1.5697,1.27495,0.54306,0.25638,0.27655,0.13821,1.87078,1.78867,1.29428,0.000930394,0.000930394,0.000930394
17,308.246,1.96775,1.58151,1.31597,0.49052,0.28641,0.28248,0.13655,1.86781,1.66517,1.29768,0.00093352,0.00093352,0.00093352
18,332.515,1.88059,1.52032,1.2652,0.50244,0.26969,0.27233,0.13717,1.80886,1.60579,1.28418,0.000887677,0.000887677,0.000887677
19,356.381,1.8905,1.50996,1.27173,0.58993,0.53611,0.52928,0.25341,1.80886,1.60579,1.28418,0.000841835,0.000841835,0.000841835
20,384.568,1.83053,1.45858,1.28641,0.55698,0.31776,0.32733,0.16702,1.78714,1.50492,1.29013,0.000795992,0.000795992,0.000795992
21,413.62,1.88555,1.48971,1.29234,0.56013,0.29361,0.30795,0.15935,1.76205,1.43917,1.28415,0.00075015,0.00075015,0.00075015
22,439.895,1.83245,1.42725,1.25807,0.59064,0.29251,0.3062,0.15491,1.74497,1.39446,1.27602,0.000704307,0.000704307,0.000704307
23,463.784,1.79044,1.41544,1.25422,0.67058,0.55163,0.56481,0.28043,1.74497,1.39446,1.27602,0.000658465,0.000658465,0.000658465
24,490.513,1.78877,1.42752,1.24199,0.62746,0.30124,0.32276,0.16604,1.72591,1.35184,1.2636,0.000612623,0.000612623,0.000612623
25,515.233,1.79658,1.44232,1.24859,0.62494,0.32992,0.33921,0.17625,1.73393,1.32052,1.26277,0.00056678,0.00056678,0.00056678
26,543.351,1.77012,1.40637,1.22898,0.63081,0.33758,0.34356,0.17924,1.71793,1.3038,1.25394,0.000520938,0.000520938,0.000520938
27,573.703,1.80758,1.68802,1.27742,0.74123,0.62743,0.64425,0.32594,1.71793,1.3038,1.25394,0.000475095,0.000475095,0.000475095
28,602.554,1.75287,1.61256,1.27844,0.58433,0.2872,0.29328,0.15603,1.69795,1.29873,1.25312,0.000429253,0.000429253,0.000429253
29,635.468,1.7337,1.52905,1.26713,0.56766,0.26545,0.27512,0.14557,1.69154,1.31755,1.26066,0.00038341,0.00038341,0.00038341
30,664.697,1.70882,1.48983,1.24451,0.61791,0.28747,0.30782,0.16948,1.66764,1.32444,1.25319,0.000337567,0.000337567,0.000337567
31,692.54,1.7348,1.51325,1.25114,0.72372,0.5438,0.56113,0.29752,1.66764,1.32444,1.25319,0.000291725,0.000291725,0.000291725
32,720.784,1.67682,1.48696,1.24648,0.56694,0.24059,0.26,0.14115,1.64409,1.3256,1.23972,0.000245882,0.000245882,0.000245882
33,748.188,1.68524,1.47411,1.25733,0.64048,0.31339,0.33872,0.18824,1.63146,1.31863,1.22889,0.00020004,0.00020004,0.00020004
34,775.249,1.70595,1.47952,1.23398,0.6318,0.29932,0.32117,0.17761,1.62484,1.30738,1.22153,0.000154198,0.000154198,0.000154198
35,800.893,1.66148,1.45057,1.23068,0.71769,0.5696,0.57634,0.30818,1.62484,1.30738,1.22153,0.000108355,0.000108355,0.000108355
36,826.742,1.66826,1.46535,1.21807,0.65833,0.34705,0.36102,0.19967,1.61928,1.30155,1.21774,6.25125e-05,6.25125e-05,6.25125e-05
